Temperature,CO2,VOC,Time
-0.5,400,0,00:49:57
-0.5625,400,0,00:49:58
-0.5625,400,0,00:50:00
-0.5,400,0,00:50:01
-0.5625,400,0,00:50:02
-0.5625,400,0,00:50:03
-0.5,400,0,00:50:05
-0.5625,400,0,00:50:06
-0.5625,400,0,00:50:07
-0.5625,400,0,00:50:08
-0.5625,400,0,00:50:10
-0.5625,400,0,00:50:11
-0.5625,400,0,00:50:12
-0.5625,400,0,00:50:13
-0.5625,400,0,00:50:15
-0.5625,400,0,00:50:16
-0.5625,400,0,00:50:17
-0.5,400,0,00:50:18
-0.5,400,0,00:50:19
-0.5625,400,0,00:50:21
-0.5,400,0,00:50:22
-0.5625,400,0,00:50:23
-0.5,400,0,00:50:24
-0.5,400,0,00:50:26
-0.5625,400,0,00:50:27
-0.5625,400,0,00:50:28
-0.5,400,0,00:50:29
-0.5625,400,0,00:50:31
-0.5625,400,0,00:50:32
-0.5625,400,0,00:50:33
-0.5,400,0,00:50:34
-0.5,400,0,00:50:36
-0.5625,400,0,00:50:37
-0.5625,400,0,00:50:38
-0.5,400,0,00:50:39
-0.5,400,0,00:50:40
-0.5,400,0,00:50:42
-0.5,400,0,00:50:43
-0.5625,400,0,00:50:44
-0.5,400,0,00:50:45
-0.5,400,0,00:50:47
-0.5625,400,0,00:50:48
-0.5625,400,0,00:50:49
-0.5625,400,0,00:50:50
-0.5625,400,0,00:50:52
-0.5,400,0,00:50:53
-0.5625,400,0,00:50:54
-0.5625,400,0,00:50:55
-0.5625,400,0,00:50:57
-0.5,400,0,00:50:58
-0.5625,400,0,00:50:59
-0.5625,400,0,00:51:00
-0.5,400,0,00:51:01
-0.5,400,0,00:51:03
-0.5625,400,0,00:51:04
-0.5,400,0,00:51:05
-0.5,400,0,00:51:06
-0.5,400,0,00:51:08
-0.5625,400,0,00:51:09
-0.5,400,0,00:51:10
-0.5,400,0,00:51:11
-0.5,400,0,00:51:13
-0.5625,400,0,00:51:14
-0.5625,400,0,00:51:15
-0.5,400,0,00:51:16
-0.5625,400,0,00:51:18
-0.5625,400,0,00:51:19
-0.5,400,0,00:51:20
-0.5,400,0,00:51:21
-0.5,400,0,00:51:22
-0.5,400,0,00:51:24
-0.5,400,0,00:51:25
-0.5,400,0,00:51:26
-0.5,400,0,00:51:27
-0.5,400,0,00:51:29
-0.4375,400,0,00:51:30
-0.5,400,0,00:51:31
-0.4375,400,0,00:51:32
-0.5,400,0,00:51:34
-0.5,400,0,00:51:35
-0.4375,400,0,00:51:36
-0.5,400,0,00:51:37
-0.5,400,0,00:51:39
-0.5,400,0,00:51:40
-0.5,400,0,00:51:41
-0.5,400,0,00:51:42
-0.5,400,0,00:51:43
-0.5,400,0,00:51:45
-0.5,400,0,00:51:46
-0.5625,400,0,00:51:47
-0.5,400,0,00:51:48
-0.5,400,0,00:51:50
-0.5,400,0,00:51:51
-0.5,400,0,00:51:52
-0.5,400,0,00:51:53
-0.5,400,0,00:51:55
-0.5625,400,0,00:51:56
-0.5,400,0,00:51:57
-0.5625,400,0,00:51:58
-0.5625,400,0,00:52:00
-0.5625,400,0,00:52:01
-0.5625,400,0,00:52:02
-0.5625,400,0,00:52:03
-0.5625,400,0,00:52:04
-0.5625,400,0,00:52:06
-0.5625,400,0,00:52:07
-0.5625,400,0,00:52:08
-0.5625,400,0,00:52:09
-0.625,400,0,00:52:11
-0.5625,400,0,00:52:12
-0.5625,400,0,00:52:13
-0.625,400,0,00:52:14
-0.5625,400,0,00:52:16
-0.5625,400,0,00:52:17
-0.5,400,0,00:52:18
-0.5625,400,0,00:52:19
-0.5,400,0,00:52:21
-0.5625,400,0,00:52:22
-0.5625,400,0,00:52:23
-0.5625,400,0,00:52:24
-0.625,400,0,00:52:25
-0.625,400,0,00:52:27
-0.5625,400,0,00:52:28
-0.5625,400,0,00:52:29
-0.5625,400,0,00:52:30
-0.5625,400,0,00:52:32
-0.5625,400,0,00:52:33
-0.625,400,0,00:52:34
-0.5625,400,0,00:52:35
-0.5625,400,0,00:52:37
-0.5625,400,0,00:52:38
-0.625,400,0,00:52:39
-0.625,400,0,00:52:40
-0.625,400,0,00:52:41
-0.5625,400,0,00:52:43
-0.5625,400,0,00:52:44
-0.5625,400,0,00:52:45
-0.5625,400,0,00:52:46
-0.5625,400,0,00:52:48
-0.5625,400,0,00:52:49
-0.5625,400,0,00:52:50
-0.625,400,0,00:52:51
-0.5625,400,0,00:52:53
-0.625,400,0,00:52:54
-0.625,400,0,00:52:55
-0.625,400,0,00:52:56
-0.625,400,0,00:52:58
-0.5625,400,0,00:52:59
-0.5625,400,0,00:53:00
-0.625,400,0,00:53:01
-0.625,400,0,00:53:02
